naive time (ms),naive (bytes),iterator time (ms),iterator (bytes),typing time (ms),typing (bytes)
11772,196608,5159,196608,4952,196608
11772,393216,5159,393216,4952,393216
11772,396416,5159,396416,4952,396416
11772,399616,5159,399616,4952,399616
11772,406528,5159,406528,4952,406528
11772,413440,5159,413440,4952,413440
11772,413696,5159,413696,4952,413696
11772,413952,5159,413952,4952,413952
11772,4608256,5159,4608256,4953,4608256
11773,8802560,5160,8802560,4954,8802560
11773,12996864,5160,12996864,4954,12996864
11773,17191168,5160,17191168,4954,17191168
11777,21385472,5161,21385472,4955,18239744
11777,25579776,5161,25579776,4955,19288320
11777,29774080,5161,29774080,4956,23482624
11778,33968384,5162,33968384,4956,27676928
11778,38162688,5162,38162688,4956,31871232
11778,42356992,5162,42356992,4957,36065536
11778,42504448,5162,42504448,4957,36212992
11778,42651904,5162,42651904,4957,36360448
11778,42652160,5162,42652160,4957,36360704
11778,42652416,5162,42652416,4957,36360960
11778,46846720,5163,46846720,4957,40555264
11778,51041024,5163,51041024,4957,44749568
11778,55235328,5164,55235328,4958,48943872
11778,59429632,5164,59429632,4958,53138176
11780,63623936,5165,63623936,4960,54186752
11780,67818240,5166,67818240,4960,55235328
11780,68866816,5166,68866816,4960,56283904
11780,69915392,5167,69915392,4961,57332480
11780,70963968,5167,70963968,4961,58381056
11781,72012544,5167,72012544,4961,59429632
11781,73061120,5167,73061120,4961,59691776
11781,74109696,5168,74109696,4961,59953920
11781,75158272,5168,75158272,4962,61002496
11781,76206848,5168,76206848,4962,62051072
11781,77255424,5168,77255424,4962,63099648
11781,78304000,5169,78304000,4963,64148224
11781,78598912,5169,78598912,4963,64443136
11782,78893824,5169,78893824,4963,64738048
11782,78894336,5169,78894336,4963,64738560
11782,78894848,5169,78894848,4963,64739072
11782,80992000,5170,80992000,4963,66836224
11782,83089152,5170,83089152,4963,68933376
11782,85186304,5170,85186304,4964,71030528
11782,87283456,5171,87283456,4964,73127680
11784,89380608,5173,89380608,4966,73651968
11784,91477760,5173,91477760,4966,74176256
11784,93574912,5173,93574912,4967,76273408
11785,95672064,5174,95672064,4967,78370560
11785,97769216,5174,97769216,4967,80467712
11785,99866368,5174,99866368,4967,82564864
11785,100456192,5174,100456192,4968,83154688
11785,101046016,5174,101046016,4968,83744512
11785,101046528,5174,101046528,4968,83745024
11785,101047040,5174,101047040,4968,83745536
11785,103144192,5175,103144192,4968,85842688
11785,105241344,5175,105241344,4969,87939840
11786,107338496,5175,107338496,4969,90036992
11786,109435648,5175,109435648,4969,92134144
11790,111532800,5180,111532800,4973,92658432
11790,113629952,5180,113629952,4973,93182720
11790,114154240,5180,114154240,4973,93707008
11790,114678528,5180,114678528,4973,94231296
11791,115202816,5181,115202816,4974,94755584
11791,115727104,5181,115727104,4974,95279872
11791,116251392,5181,116251392,4974,95410944
11791,116775680,5181,116775680,4974,95542016
11791,117299968,5181,117299968,4974,96066304
11791,117824256,5181,117824256,4974,96590592
11791,118348544,5181,118348544,4974,97114880
11792,118872832,5181,118872832,4974,97639168
11792,120052480,5192,120052480,4975,98818816
11792,121232128,5193,121232128,4975,99998464
11792,121233152,5193,121233152,4975,99999488
11792,121234176,5193,121234176,4975,100000512
11792,122282752,5193,122282752,4975,101049088
11792,123331328,5193,123331328,4975,102097664
11792,124379904,5194,124379904,4976,103146240
11793,125428480,5194,125428480,4976,104194816
11801,126477056,5202,126477056,4984,104456960
11801,127525632,5203,127525632,4984,104719104
11801,128574208,5203,128574208,4985,105767680
11801,129622784,5204,129622784,4985,106816256
11802,130671360,5204,130671360,4985,107864832
11802,131719936,5204,131719936,4985,108913408
11802,134079232,5205,134079232,4986,111272704
11802,136438528,5205,136438528,4986,113632000
11802,136439552,5205,136439552,4986,113633024
11802,136440576,5205,136440576,4986,113634048
11802,137489152,5206,137489152,4986,114682624
11802,138537728,5206,138537728,4986,115731200
11803,139586304,5206,139586304,4987,116779776
11803,140634880,5207,140634880,4987,117828352
11819,141683456,5222,141683456,5003,118090496
11819,142732032,5223,142732032,5004,118352640
11819,143780608,5223,143780608,5004,119401216
11819,144829184,5224,144829184,5004,120449792
11819,145877760,5224,145877760,5004,121498368
11820,146926336,5225,146926336,5004,122546944
11820,149285632,5225,149285632,5005,124906240
11820,151644928,5225,151644928,5005,127265536
11820,151645952,5225,151645952,5005,127266560
11820,151646976,5226,151646976,5005,127267584
11820,152695552,5226,152695552,5005,128316160
11820,153744128,5226,153744128,5006,129364736
11820,154792704,5227,154792704,5006,130413312
11820,155841280,5227,155841280,5006,131461888
11837,156889856,5243,156889856,5022,131724032
11837,157938432,5243,157938432,5022,131986176
11837,158200576,5243,158200576,5022,132248320
11838,158462720,5244,158462720,5023,132510464
11838,158724864,5244,158724864,5023,132772608
11838,158987008,5244,158987008,5023,133034752
11838,159249152,5244,159249152,5023,133100288
11838,159511296,5244,159511296,5023,133165824
11838,159773440,5244,159773440,5023,133427968
11838,160035584,5244,160035584,5023,133690112
11838,160297728,5244,160297728,5023,133952256
11838,160559872,5244,160559872,5023,134214400
11838,165278464,5245,165278464,5023,138932992
11838,169997056,5245,169997056,5023,143651584
11838,169999104,5245,169999104,5023,143653632
11838,170001152,5245,170001152,5023,143655680
11838,170525440,5245,170525440,5024,144179968
11839,171049728,5246,171049728,5024,144704256
11839,171574016,5246,171574016,5024,145228544
11839,172098304,5246,172098304,5024,145752832
11869,172622592,5276,172622592,5055,145883904
11870,173146880,5276,173146880,5055,146014976
11870,173671168,5276,173671168,5055,146539264
11870,174195456,5276,174195456,5055,147063552
11870,174719744,5276,174719744,5055,147587840
11870,175244032,5276,175244032,5055,148112128
11870,184681216,5277,184681216,5056,157549312
11871,194118400,5277,194118400,5056,166986496
