Op Number,Percent Completion (Old),Time (ms),Old (bytes),Initial,Time (ms),Iterator (bytes),Percent Completion (Iterator),Iterator Ops,Time (ms),Percent Completion (8bit),New (bytes),uint8_t Buffers
1,0.00%,11772,196608,0.18750,5159,196608,0%,0.18750,4952,0%,196608,0.18750
2,0.01%,11772,393216,0.37500,5159,393216,0%,0.37500,4952,0%,393216,0.37500
3,0.01%,11772,396416,0.37805,5159,396416,0%,0.37805,4952,0%,396416,0.37805
4,0.02%,11772,399616,0.38110,5159,399616,0%,0.38110,4952,0%,399616,0.38110
5,0.03%,11772,406528,0.38770,5159,406528,0%,0.38770,4952,0%,406528,0.38770
6,0.03%,11772,413440,0.39429,5159,413440,0%,0.39429,4952,0%,413440,0.39429
7,0.04%,11772,413696,0.39453,5159,413696,0%,0.39453,4952,0%,413696,0.39453
8,0.04%,11772,413952,0.39478,5159,413952,0%,0.39478,4952,0%,413952,0.39478
9,0.05%,11772,4608256,4.39478,5159,4608256,0%,4.39478,4953,0%,4608256,4.39478
10,0.06%,11773,8802560,8.39478,5160,8802560,0%,8.39478,4954,0%,8802560,8.39478
11,0.06%,11773,12996864,12.39478,5160,12996864,0%,12.39478,4954,0%,12996864,12.39478
12,0.07%,11773,17191168,16.39478,5160,17191168,0%,16.39478,4954,0%,17191168,16.39478
13,0.08%,11777,21385472,20.39478,5161,21385472,0%,20.39478,4955,0%,18239744,17.39478
14,0.08%,11777,25579776,24.39478,5161,25579776,0%,24.39478,4955,0%,19288320,18.39478
15,0.09%,11777,29774080,28.39478,5161,29774080,0%,28.39478,4956,0%,23482624,22.39478
16,0.09%,11778,33968384,32.39478,5162,33968384,0%,32.39478,4956,0%,27676928,26.39478
17,0.10%,11778,38162688,36.39478,5162,38162688,0%,36.39478,4956,0%,31871232,30.39478
18,0.11%,11778,42356992,40.39478,5162,42356992,0%,40.39478,4957,0%,36065536,34.39478
19,0.11%,11778,42504448,40.53540,5162,42504448,0%,40.53540,4957,0%,36212992,34.53540
20,0.12%,11778,42651904,40.67603,5162,42651904,0%,40.67603,4957,0%,36360448,34.67603
21,0.13%,11778,42652160,40.67627,5162,42652160,0%,40.67627,4957,0%,36360704,34.67627
22,0.13%,11778,42652416,40.67651,5162,42652416,0%,40.67651,4957,0%,36360960,34.67651
23,0.14%,11778,46846720,44.67651,5163,46846720,1%,44.67651,4957,1%,40555264,38.67651
24,0.14%,11778,51041024,48.67651,5163,51041024,1%,48.67651,4957,1%,44749568,42.67651
25,0.15%,11778,55235328,52.67651,5164,55235328,1%,52.67651,4958,1%,48943872,46.67651
26,0.16%,11778,59429632,56.67651,5164,59429632,1%,56.67651,4958,1%,53138176,50.67651
27,0.16%,11780,63623936,60.67651,5165,63623936,1%,60.67651,4960,1%,54186752,51.67651
28,0.17%,11780,67818240,64.67651,5166,67818240,1%,64.67651,4960,1%,55235328,52.67651
29,0.18%,11780,68866816,65.67651,5166,68866816,1%,65.67651,4960,1%,56283904,53.67651
30,0.18%,11780,69915392,66.67651,5167,69915392,1%,66.67651,4961,1%,57332480,54.67651
31,0.19%,11780,70963968,67.67651,5167,70963968,1%,67.67651,4961,1%,58381056,55.67651
32,0.19%,11781,72012544,68.67651,5167,72012544,1%,68.67651,4961,1%,59429632,56.67651
33,0.20%,11781,73061120,69.67651,5167,73061120,1%,69.67651,4961,1%,59691776,56.92651
34,0.21%,11781,74109696,70.67651,5168,74109696,1%,70.67651,4961,1%,59953920,57.17651
35,0.21%,11781,75158272,71.67651,5168,75158272,1%,71.67651,4962,1%,61002496,58.17651
36,0.22%,11781,76206848,72.67651,5168,76206848,1%,72.67651,4962,1%,62051072,59.17651
37,0.23%,11781,77255424,73.67651,5168,77255424,1%,73.67651,4962,1%,63099648,60.17651
38,0.23%,11781,78304000,74.67651,5169,78304000,1%,74.67651,4963,1%,64148224,61.17651
39,0.24%,11781,78598912,74.95776,5169,78598912,1%,74.95776,4963,1%,64443136,61.45776
40,0.24%,11782,78893824,75.23901,5169,78893824,1%,75.23901,4963,1%,64738048,61.73901
41,0.25%,11782,78894336,75.23950,5169,78894336,1%,75.23950,4963,1%,64738560,61.73950
42,0.26%,11782,78894848,75.23999,5169,78894848,1%,75.23999,4963,1%,64739072,61.73999
43,0.26%,11782,80992000,77.23999,5170,80992000,1%,77.23999,4963,1%,66836224,63.73999
44,0.27%,11782,83089152,79.23999,5170,83089152,1%,79.23999,4963,1%,68933376,65.73999
45,0.28%,11782,85186304,81.23999,5170,85186304,1%,81.23999,4964,1%,71030528,67.73999
46,0.28%,11782,87283456,83.23999,5171,87283456,1%,83.23999,4964,1%,73127680,69.73999
47,0.29%,11784,89380608,85.23999,5173,89380608,1%,85.23999,4966,1%,73651968,70.23999
48,0.29%,11784,91477760,87.23999,5173,91477760,1%,87.23999,4966,1%,74176256,70.73999
49,0.30%,11784,93574912,89.23999,5173,93574912,1%,89.23999,4967,1%,76273408,72.73999
50,0.31%,11785,95672064,91.23999,5174,95672064,1%,91.23999,4967,1%,78370560,74.73999
51,0.31%,11785,97769216,93.23999,5174,97769216,1%,93.23999,4967,1%,80467712,76.73999
52,0.32%,11785,99866368,95.23999,5174,99866368,1%,95.23999,4967,1%,82564864,78.73999
53,0.33%,11785,100456192,95.80249,5174,100456192,1%,95.80249,4968,1%,83154688,79.30249
54,0.33%,11785,101046016,96.36499,5174,101046016,1%,96.36499,4968,1%,83744512,79.86499
55,0.34%,11785,101046528,96.36548,5174,101046528,1%,96.36548,4968,1%,83745024,79.86548
56,0.34%,11785,101047040,96.36597,5174,101047040,1%,96.36597,4968,1%,83745536,79.86597
57,0.35%,11785,103144192,98.36597,5175,103144192,1%,98.36597,4968,1%,85842688,81.86597
58,0.36%,11785,105241344,100.36597,5175,105241344,1%,100.36597,4969,1%,87939840,83.86597
59,0.36%,11786,107338496,102.36597,5175,107338496,1%,102.36597,4969,1%,90036992,85.86597
60,0.37%,11786,109435648,104.36597,5175,109435648,1%,104.36597,4969,1%,92134144,87.86597
61,0.38%,11790,111532800,106.36597,5180,111532800,1%,106.36597,4973,1%,92658432,88.36597
62,0.38%,11790,113629952,108.36597,5180,113629952,1%,108.36597,4973,1%,93182720,88.86597
63,0.39%,11790,114154240,108.86597,5180,114154240,1%,108.86597,4973,1%,93707008,89.36597
64,0.39%,11790,114678528,109.36597,5180,114678528,1%,109.36597,4973,1%,94231296,89.86597
65,0.40%,11791,115202816,109.86597,5181,115202816,2%,109.86597,4974,1%,94755584,90.36597
66,0.41%,11791,115727104,110.36597,5181,115727104,2%,110.36597,4974,2%,95279872,90.86597
67,0.41%,11791,116251392,110.86597,5181,116251392,2%,110.86597,4974,2%,95410944,90.99097
68,0.42%,11791,116775680,111.36597,5181,116775680,2%,111.36597,4974,2%,95542016,91.11597
69,0.43%,11791,117299968,111.86597,5181,117299968,2%,111.86597,4974,2%,96066304,91.61597
70,0.43%,11791,117824256,112.36597,5181,117824256,2%,112.36597,4974,2%,96590592,92.11597
71,0.44%,11791,118348544,112.86597,5181,118348544,2%,112.86597,4974,2%,97114880,92.61597
72,0.44%,11792,118872832,113.36597,5181,118872832,2%,113.36597,4974,2%,97639168,93.11597
73,0.45%,11792,120052480,114.49097,5192,120052480,2%,114.49097,4975,2%,98818816,94.24097
74,0.46%,11792,121232128,115.61597,5193,121232128,2%,115.61597,4975,2%,99998464,95.36597
75,0.46%,11792,121233152,115.61694,5193,121233152,2%,115.61694,4975,2%,99999488,95.36694
76,0.47%,11792,121234176,115.61792,5193,121234176,2%,115.61792,4975,2%,100000512,95.36792
77,0.48%,11792,122282752,116.61792,5193,122282752,2%,116.61792,4975,2%,101049088,96.36792
78,0.48%,11792,123331328,117.61792,5193,123331328,2%,117.61792,4975,2%,102097664,97.36792
79,0.49%,11792,124379904,118.61792,5194,124379904,2%,118.61792,4976,2%,103146240,98.36792
80,0.49%,11793,125428480,119.61792,5194,125428480,2%,119.61792,4976,2%,104194816,99.36792
81,0.50%,11801,126477056,120.61792,5202,126477056,2%,120.61792,4984,2%,104456960,99.61792
82,0.51%,11801,127525632,121.61792,5203,127525632,2%,121.61792,4984,2%,104719104,99.86792
83,0.51%,11801,128574208,122.61792,5203,128574208,2%,122.61792,4985,2%,105767680,100.86792
84,0.52%,11801,129622784,123.61792,5204,129622784,2%,123.61792,4985,2%,106816256,101.86792
85,0.53%,11802,130671360,124.61792,5204,130671360,2%,124.61792,4985,2%,107864832,102.86792
86,0.53%,11802,131719936,125.61792,5204,131719936,2%,125.61792,4985,2%,108913408,103.86792
87,0.54%,11802,134079232,127.86792,5205,134079232,2%,127.86792,4986,2%,111272704,106.11792
88,0.55%,11802,136438528,130.11792,5205,136438528,2%,130.11792,4986,2%,113632000,108.36792
89,0.55%,11802,136439552,130.11890,5205,136439552,2%,130.11890,4986,2%,113633024,108.36890
90,0.56%,11802,136440576,130.11987,5205,136440576,2%,130.11987,4986,2%,113634048,108.36987
91,0.56%,11802,137489152,131.11987,5206,137489152,2%,131.11987,4986,2%,114682624,109.36987
92,0.57%,11802,138537728,132.11987,5206,138537728,2%,132.11987,4986,2%,115731200,110.36987
